id,sueldo,casado,coche,hijos,casa,sindicato,faltas_annio,antiguedad,sexo
1001,19490.14,Sí,No,0,Alquila,No,2,0.7,M
1002,17585.21,No,No,0,Propia,Sí,3,2.9,F
1003,19943.07,No,Sí,2,Alquila,Sí,1,4.1,M
1004,22569.09,Sí,No,0,Propia,No,1,3.0,F
1005,17297.54,No,Sí,0,Propia,Sí,1,0.5,M
1006,17297.59,No,Sí,0,Propia,No,1,1.5,M
1007,22737.64,No,No,0,Propia,No,3,3.3,F
1008,20302.3,No,No,0,Propia,Sí,4,1.3,M
1009,16591.58,Sí,Sí,1,Alquila,No,1,2.4,F
1010,19627.68,No,No,0,Propia,Sí,3,2.8,M
1011,16609.75,Sí,No,2,Alquila,Sí,2,1.1,M
1012,16602.81,No,Sí,0,Propia,No,2,1.9,M
1013,18725.89,No,No,1,Alquila,Sí,0,0.5,M
1014,12260.16,No,Sí,2,Alquila,No,2,1.0,F
1015,12825.25,No,Sí,1,Propia,Sí,1,1.7,M
1016,16313.14,Sí,Sí,1,Alquila,Sí,1,0.8,F
1017,14961.51,No,No,0,Propia,No,1,3.6,F
1018,18942.74,No,No,0,Propia,No,0,0.6,M
1019,15275.93,No,Sí,1,Alquila,Sí,3,1.6,F
1020,13763.09,Sí,Sí,3,Alquila,No,4,2.1,F
1021,22396.95,Sí,No,1,Propia,Sí,4,3.4,F
1022,17322.67,Sí,Sí,1,Alquila,No,2,0.6,M
1023,18202.58,No,No,2,Propia,No,0,3.2,M
1024,13725.76,No,No,1,Propia,No,3,2.0,F
1025,16366.85,Sí,Sí,0,Propia,No,2,1.0,F
1026,18332.77,No,No,1,Propia,No,1,2.5,F
1027,14547.02,No,Sí,3,Propia,No,2,2.2,M
1028,19127.09,No,No,0,Propia,No,3,1.4,F
1029,16198.08,No,No,1,Alquila,No,2,2.1,M
1030,17124.92,No,No,0,Alquila,Sí,2,1.6,M
1031,16194.88,No,Sí,1,Propia,No,4,2.1,M
1032,23556.83,Sí,No,0,Propia,No,0,2.7,F
1033,17959.51,No,Sí,1,Propia,No,3,3.6,M
1034,14826.87,No,Sí,2,Propia,No,5,0.8,M
1035,20467.63,No,Sí,0,Propia,No,1,4.1,F
1036,14337.47,No,Sí,1,Propia,Sí,1,0.5,M
1037,18626.59,No,Sí,2,Propia,Sí,3,1.8,M
1038,12120.99,Sí,No,3,Alquila,No,1,2.6,M
1039,14015.44,Sí,No,0,Propia,No,1,2.3,F
1040,18590.58,Sí,Sí,0,Alquila,No,2,1.4,F
1041,20215.4,Sí,No,0,Propia,No,2,1.8,M
1042,18514.1,No,Sí,3,Propia,No,3,1.5,F
1043,17653.06,No,No,3,Propia,No,1,1.4,F
1044,17096.69,Sí,No,1,Alquila,Sí,3,2.8,M
1045,13564.43,Sí,Sí,2,Alquila,Sí,2,2.4,F
1046,15840.47,No,No,1,Propia,No,2,1.3,F
1047,16618.08,Sí,Sí,1,Alquila,No,6,2.9,F
1048,21171.37,No,Sí,0,Propia,Sí,3,2.3,M
1049,19030.85,No,No,2,Alquila,No,3,2.8,F
1050,12710.88,No,Sí,0,Alquila,No,2,2.6,F
1051,18972.25,Sí,Sí,2,Alquila,No,4,1.2,M
1052,16844.75,Sí,Sí,2,Propia,No,0,1.4,M
1053,15969.23,No,No,2,Propia,No,2,2.7,M
1054,19835.03,No,Sí,0,Alquila,Sí,1,2.6,M
1055,21093.0,Sí,Sí,0,Alquila,No,3,2.0,F
1056,20793.84,No,No,0,Propia,No,2,2.1,M
1057,15482.35,Sí,No,0,Alquila,Sí,1,3.3,M
1058,17072.36,No,Sí,0,Propia,No,1,1.4,F
1059,18993.79,Sí,Sí,3,Propia,No,3,2.5,M
1060,20926.64,No,Sí,1,Alquila,No,1,1.8,F
1061,16562.48,Sí,Sí,0,Alquila,No,1,1.8,M
1062,17443.02,Sí,Sí,0,Propia,Sí,2,3.1,M
1063,14681.0,Sí,No,1,Propia,No,0,2.8,M
1064,14411.38,Sí,No,1,Propia,No,3,2.8,M
1065,20437.58,No,No,1,Alquila,No,3,3.3,M
1066,22068.72,No,Sí,3,Propia,Sí,1,2.0,F
1067,17783.97,Sí,No,1,Alquila,No,2,2.7,F
1068,21010.6,Sí,Sí,3,Propia,No,3,1.7,M
1069,19084.91,No,No,2,Propia,Sí,2,2.3,F
1070,16064.64,No,No,0,Alquila,Sí,3,1.9,F
1071,19084.19,No,Sí,3,Alquila,No,2,2.1,F
1072,22614.11,Sí,No,0,Alquila,No,0,2.6,M
1073,17892.52,Sí,Sí,2,Alquila,No,1,1.2,M
1074,22693.93,No,No,0,Alquila,No,1,4.1,M
1075,12000.0,Sí,Sí,2,Alquila,No,1,1.0,F
1076,20465.71,No,Sí,2,Propia,No,1,0.8,F
1077,18261.14,Sí,No,2,Propia,Sí,0,3.2,M
1078,17102.98,No,Sí,2,Alquila,No,2,2.8,M
1079,18275.28,Sí,No,0,Propia,Sí,1,2.6,F
1080,12037.29,No,Sí,0,Alquila,No,3,2.6,F
1081,17340.98,Sí,No,1,Propia,Sí,2,2.0,F
1082,19071.34,No,No,0,Alquila,Sí,2,1.1,F
1083,22433.68,Sí,Sí,1,Propia,No,0,2.1,M
1084,16445.19,No,Sí,0,Propia,Sí,1,1.3,F
1085,15574.52,No,Sí,3,Propia,No,1,3.0,F
1086,16494.73,No,Sí,1,Propia,Sí,3,1.9,M
1087,20746.21,No,Sí,2,Alquila,No,1,1.2,F
1088,18986.25,No,No,0,Propia,No,2,1.7,F
1089,16410.72,No,No,2,Alquila,Sí,2,2.4,M
1090,19539.8,Sí,No,3,Alquila,Sí,3,1.4,F
1091,18291.23,No,No,1,Alquila,No,4,1.2,F
1092,20905.93,Sí,No,1,Propia,No,0,2.2,F
1093,15893.84,Sí,No,2,Alquila,No,2,2.2,M
1094,17017.01,Sí,Sí,0,Propia,No,1,1.5,M
1095,16823.68,Sí,No,1,Propia,No,3,1.5,F
1096,13609.46,No,No,0,Propia,Sí,1,2.2,M
1097,18888.36,No,Sí,0,Propia,No,1,0.6,F
1098,18783.17,No,Sí,0,Propia,No,2,0.6,F
1099,18015.34,No,Sí,0,Alquila,No,2,1.3,M
1100,17296.24,Sí,Sí,0,Alquila,No,0,1.8,F
1101,33677.03,Sí,No,0,Alquila,No,0,10.9,F
1102,41634.84,Sí,Sí,3,Alquila,No,3,14.4,M
1103,42258.28,Sí,Sí,1,Alquila,No,1,12.6,F
1104,38581.78,Sí,No,3,Alquila,No,2,9.5,F
1105,43709.71,Sí,Sí,1,Propia,No,1,9.9,F
1106,48232.41,No,Sí,0,Propia,Sí,0,7.0,F
1107,60089.49,No,Sí,1,Alquila,Sí,1,9.9,M
1108,46396.62,No,No,1,Propia,No,1,9.1,F
1109,47060.4,No,No,0,Alquila,No,1,11.0,F
1110,44404.43,No,Sí,1,Propia,Sí,0,7.5,F
1111,29649.83,Sí,No,0,Propia,Sí,1,11.6,F
1112,44787.89,No,Sí,1,Propia,Sí,1,14.6,M
1113,45481.84,No,No,1,Propia,Sí,3,9.7,F
1114,64705.94,Sí,No,0,Propia,No,0,11.2,M
1115,43461.11,Sí,No,0,Propia,No,0,12.1,M
1116,47412.38,No,Sí,2,Propia,No,1,8.8,M
1117,44722.31,Sí,No,1,Propia,No,1,10.7,F
1118,35650.58,No,No,0,Propia,Sí,0,10.0,F
1119,54142.58,No,Sí,3,Alquila,Sí,1,10.3,F
1120,51015.46,Sí,No,0,Alquila,No,0,7.7,F
1121,51328.26,Sí,Sí,1,Alquila,No,1,10.1,F
1122,37724.9,Sí,No,3,Propia,No,1,11.5,F
1123,56222.35,Sí,Sí,0,Propia,Sí,0,14.4,M
1124,33785.19,Sí,No,0,Alquila,No,3,12.9,M
1125,49694.86,No,Sí,0,Propia,No,1,16.5,M
1126,62523.65,Sí,Sí,0,Propia,No,0,7.7,F
1127,37075.71,No,Sí,0,Propia,No,1,12.6,F
1128,40469.62,Sí,Sí,1,Propia,No,2,10.6,M
1129,45797.21,No,Sí,0,Propia,No,2,16.6,M
1130,40972.19,Sí,Sí,1,Alquila,Sí,2,7.6,F
1131,32594.69,Sí,Sí,3,Propia,Sí,1,7.5,M
1132,45548.5,No,Sí,2,Alquila,Sí,1,8.2,F
1133,36501.57,No,Sí,1,Propia,No,2,3.6,F
